well_position	broad_sample	mmoles_per_liter	solvent
N20	BRD-A51205214-001-05-1	5.0	DMSO
N21	BRD-A28409908-001-05-0	5.0	DMSO
N22	BRD-K31611708-001-06-4	5.0	DMSO
N23			DMSO
N24			DMSO
O01			DMSO
O02			DMSO
O03	BRD-K63141600-001-06-2	5.0	DMSO
O04	BRD-K83349888-001-05-2	5.0	DMSO
O05	BRD-K50104180-001-05-5	5.0	DMSO
O06	BRD-K52586039-001-05-4	5.0	DMSO
O07	BRD-K49532631-001-05-6	5.0	DMSO
O08	BRD-K61046611-001-06-2	5.0	DMSO
O09	BRD-K71120545-001-06-4	5.0	DMSO
O10	BRD-K77393308-001-06-8	5.0	DMSO
O11	BRD-A09839523-001-05-6	5.0	DMSO
O12	BRD-K61487648-001-06-5	5.0	DMSO
O13	BRD-K38588507-001-06-0	5.0	DMSO
O14	BRD-K39329527-001-05-6	5.0	DMSO
O15	BRD-K09581323-001-05-4	5.0	DMSO
O16	BRD-K09331333-001-05-2	5.0	DMSO
O17	BRD-K78200415-001-05-6	5.0	DMSO
O18	BRD-K82063557-001-05-0	5.0	DMSO
O19	BRD-K08265891-001-05-7	5.0	DMSO
O20	BRD-A64180536-001-06-0	5.0	DMSO
O21	BRD-K41364172-001-05-7	5.0	DMSO
O22	BRD-K31350144-001-06-1	5.0	DMSO
O23			DMSO
O24			DMSO
P01			DMSO
P02			DMSO
P03	BRD-K42941887-001-06-5	5.0	DMSO
P04	BRD-K16491556-001-06-3	5.0	DMSO
P05	BRD-A87973172-001-05-2	5.0	DMSO
P06	BRD-K79824643-001-07-2	5.0	DMSO
P07	BRD-K43325186-001-05-0	5.0	DMSO
P08	BRD-K26567371-001-10-3	5.0	DMSO
P09	BRD-K83125254-001-05-2	5.0	DMSO
P10	BRD-K74055156-001-05-1	5.0	DMSO
P11	BRD-K70760275-001-05-6	5.0	DMSO
P12	BRD-A29544928-001-05-9	5.0	DMSO
P13	BRD-K34748852-001-05-7	5.0	DMSO
P14	BRD-K66028208-001-05-6	5.0	DMSO
P15	BRD-K66197367-001-05-6	5.0	DMSO
P16	BRD-K57765549-001-06-0	5.0	DMSO
P17	BRD-K82371836-001-05-0	5.0	DMSO
P18	BRD-K62800580-001-06-8	5.0	DMSO
P19	BRD-A69992442-001-05-8	5.0	DMSO
P20	BRD-K53667631-001-05-3	5.0	DMSO
P21	BRD-K84812831-001-05-6	5.0	DMSO
P22	BRD-K64483217-001-05-4	5.0	DMSO
P23			DMSO
P24			DMSO
